epoch,train_p_loss,train_p_f1,train_d_loss,train_d_acc,val_p_loss,val_p_f1,val_d_acc,lambda_,lr
1,1.1822652477417137,0.3613716484395044,2.553374519700604,0.25990853658536583,1.337399421216074,0.731410091644427,0.45458422174840085,0.02449186624037092,0.0003
2,0.8863715301275084,0.4007154484407439,2.476394467510846,0.2704363567073171,1.1937310101889345,0.8352293634261327,0.46012793176972283,0.04621171572600098,0.0003
3,0.7678537694573601,0.45452111461688227,2.415429979589589,0.2885861280487805,1.2909834445920834,0.776505697211235,0.5147121535181237,0.06351489523872873,0.0002977211629518312
4,0.694335226525743,0.5043203319977987,2.4123657573599635,0.2924447408536585,1.1283226996088334,0.8185507747919523,0.43155650319829425,0.07615941559557647,0.0002909538931178862
5,0.6761169986684185,0.5037600935254042,2.4908182389531137,0.2537157012195122,1.3097879830708128,0.8767336281618634,0.3718550106609808,0.08482836399575132,0.0002799038105676658
6,0.618768719219252,0.5110682075451377,2.5102999233742005,0.2423780487804878,1.3377965645495253,0.8896460242242602,0.3420042643923241,0.09051482536448668,0.00026490666646784665
7,0.5831129109342639,0.5471430152431064,2.518654327645626,0.24152057926829268,1.3782629292656872,0.8968293836548312,0.3437100213219616,0.09413755384972873,0.0002464181414529809
8,0.5030297014787282,0.556591145946992,2.525001411284352,0.2362328506097561,1.4835569206839685,0.8916576521284266,0.26609808102345417,0.09640275800758169,0.000225
9,0.5482761557027079,0.5560636217690346,2.5364849742174544,0.23380335365853658,1.2287083227751352,0.8907356581042667,0.2886993603411514,0.09780261147388136,0.00020130302149885031
10,0.4891791939481235,0.5379010266120916,2.5523284225265046,0.22903963414634146,1.2712777915539772,0.9224227340283159,0.26396588486140726,0.09866142981514306,0.00017604722665003956
11,0.44348859036880994,0.6012092812282768,2.5423198310438138,0.23318407012195122,1.280971693331753,0.9219896414073695,0.24264392324093817,0.0991859724568208,0.00015
12,0.4609561499247927,0.602487840857266,2.550248501725006,0.22699123475609756,1.3176414445010838,0.9118824908473654,0.24861407249466952,0.09950547536867307,0.00012395277334996044
13,0.4632054409577479,0.5615419108193658,2.5539659056836355,0.22603849085365854,1.3822504609886772,0.9311385888262993,0.24264392324093817,0.0996997635486526,9.869697850114969e-05
14,0.3942438007107111,0.5832733091916115,2.5627509425528605,0.22217987804878048,1.4000714016875733,0.9198713502686443,0.24989339019189766,0.09981778976111988,7.500000000000002e-05
15,0.3596067246032874,0.5769975007495122,2.562090160710584,0.22365663109756098,1.438184574468812,0.9204724246882103,0.24477611940298508,0.09988944427261529,5.358185854701909e-05
16,0.36816694864699184,0.5922902877647699,2.560575517131604,0.22580030487804878,1.3970641034498397,0.9302611768697062,0.23283582089552238,0.09993292997390674,3.509333353215331e-05
17,0.36340508245794845,0.5703525672811326,2.560866091325367,0.22556211890243902,1.3870425276664782,0.9312576817025665,0.2302771855010661,0.09995931460438896,2.009618943233419e-05
18,0.35095148981252966,0.6047397962622199,2.564487851849384,0.22265625,1.4468058589170736,0.9276732253929308,0.22729211087420043,0.09997532108480274,9.046106882113751e-06
19,0.3485631386608457,0.6222573143143633,2.5624716702018184,0.22318025914634146,1.4337503498805357,0.9284784152596627,0.23496801705756928,0.0999850307544979,2.2788370481687965e-06
20,0.35295354477801727,0.6144061606614845,2.56817745813344,0.22298971036585366,1.416550328990798,0.9274754248879242,0.2375266524520256,0.09999092042625952,0.0
