epoch,train_loss,train_f1,val_loss,val_f1,lr
1,1.1591962591558518,0.35853002962792335,1.4297386085046635,0.7120574202376034,0.0002926829491861254
2,0.7778416689412059,0.45963817388163564,1.2365606642989462,0.7582013122202128,0.0002714480406590546
3,0.6731234070362849,0.4892699318376321,1.2371473626033076,0.800380649973248,0.0002383738952177247
4,0.5586575991393999,0.5379019985191873,1.3075014396008653,0.8662265824257496,0.0001966980406590546
5,0.5216817861031481,0.5618212512842362,1.2168142127075683,0.8657677201849007,0.00015049999999999997
6,0.45615458272695825,0.5797628259819863,1.1974271453011518,0.8852772360931651,0.00010430195934094535
7,0.48490582210592287,0.5335918787944882,1.2224140477332988,0.8874143750981679,6.262610478227527e-05
8,0.40270181864083476,0.551105970791187,1.2371809140959782,0.8941974055828515,2.955195934094537e-05
9,0.4076947188495997,0.5556028583598643,1.3077734571021757,0.8964096233318347,8.317050813874547e-06
10,0.3982706478155498,0.5799848004561833,1.2835653657852206,0.8995562767980643,1e-06
