epoch,train_p_loss,train_p_f1,train_d_loss,train_d_acc,val_p_loss,val_p_f1,val_d_acc,lambda_,lr
1,0.5161220475074607,0.3455956753676281,3.33142169083896,0.2040748480243161,0.838446399042093,0.763774246724577,0.2562899786780384,0.1224593312018546,0.0001
2,0.39283810640166533,0.4378112566800911,3.318296422463575,0.20160524316109424,0.8516697903685987,0.7535162263819435,0.297228144989339,0.2310585786300049,0.0001
3,0.32917465357045034,0.4837469988396793,3.337496691579306,0.21039133738601823,0.7561718509903849,0.8585359685363059,0.24562899786780384,0.31757447619364365,9.924038765061042e-05
4,0.27867141191328454,0.5387207262824967,3.335035724002754,0.20725683890577506,0.623465703519931,0.8893024957169278,0.24307036247334754,0.3807970779778823,9.698463103929542e-05
5,0.26942769065058025,0.534074384013266,3.3527789230003258,0.21727773556231003,0.7413275011821088,0.8923744247354468,0.22388059701492538,0.42414181997875655,9.330127018922194e-05
6,0.24492455201531949,0.5679536941046169,3.3338624030146886,0.21680281155015196,0.5250077821806804,0.898011014643181,0.23368869936034115,0.45257412682243336,8.83022221559489e-05
7,0.22789913346716026,0.558607228164796,3.328430381111555,0.21922492401215807,0.6739173760546295,0.9216343561575325,0.23582089552238805,0.47068776924864364,8.213938048432697e-05
8,0.20569080613964796,0.563193939583925,3.332888339182066,0.22174202127659576,0.6533066580798834,0.913112731842252,0.22388059701492538,0.48201379003790845,7.500000000000001e-05
9,0.20080040477796968,0.5446606969591288,3.3290883056814145,0.2220744680851064,0.8726341117928023,0.9064926090815935,0.22686567164179106,0.4890130573694068,6.710100716628344e-05
10,0.19085768021500188,0.6071936961369591,3.3248072555748047,0.22345174772036475,0.7020949588401485,0.9119500546351407,0.22473347547974415,0.49330714907571527,5.868240888334653e-05
11,0.18247491895968923,0.5520575783017018,3.3221815263341035,0.22250189969604864,0.5776107060883854,0.9176906662280333,0.22430703624733475,0.49592986228410396,5e-05
12,0.17334476112895766,0.5930275709180133,3.3255547504294007,0.22169452887537994,0.6884100882483444,0.9237232324832639,0.22515991471215352,0.49752737684336534,4.131759111665349e-05
13,0.1819877566771043,0.5641003770180889,3.325668833103826,0.22264437689969604,0.6359673485572912,0.9245416173778669,0.22473347547974415,0.498498817743263,3.289899283371657e-05
14,0.16379963704207248,0.5842056024806107,3.3215980180940536,0.22364171732522797,0.6769377098154666,0.9240269858925997,0.22515991471215352,0.4990889488055994,2.500000000000001e-05
15,0.1680432646824155,0.6121325729033501,3.3256842184168445,0.22273936170212766,0.6687796611775721,0.9324805606524785,0.22430703624733475,0.4994472213630764,1.7860619515673033e-05
16,0.1450947906769895,0.59532565049659,3.3255328639540394,0.2230243161094225,0.6195170900460754,0.9257851062133732,0.22388059701492538,0.49966464986953363,1.1697777844051105e-05
17,0.15119716654284762,0.5849334902193101,3.3368790348850985,0.22340425531914893,0.5906388125948306,0.9297151953794496,0.22473347547974415,0.4997965730219448,6.698729810778065e-06
18,0.15431147795086703,0.5787630530635316,3.3275813084873254,0.22364171732522797,0.6402833143276955,0.934236130180848,0.22473347547974415,0.4998766054240137,3.0153689607045845e-06
19,0.1454629367786232,0.5687440039235014,3.3328719821650674,0.2233092705167173,0.6083457820196904,0.9295306111965544,0.22473347547974415,0.4999251537724895,7.596123493895991e-07
20,0.14432574977837476,0.6036239144094195,3.3307761092232293,0.2231667933130699,0.607592272529724,0.9320583871336912,0.22473347547974415,0.4999546021312976,0.0
