epoch,train_loss,train_f1,val_loss,val_f1,lr
1,1.4461053907461738,0.272374871686763,1.348637864432101,0.590473551628792,0.0002967330663097039
2,0.9801846611078981,0.430637677665039,1.206677757753238,0.7344573711040258,0.00028707504591756876
3,0.8202115639553509,0.4957174375772004,1.2117009381495558,0.8188929644283226,0.0002714480406590546
4,0.7225012856505827,0.5124095501073559,1.1743531097481246,0.8194008728124965,0.0002505350256506493
5,0.6518594141623274,0.5335972231042743,1.2796862011016814,0.8735332706083273,0.00022524999999999995
6,0.5967458945036894,0.5361667950010435,1.2979216845050803,0.8736475485986943,0.0001966980406590546
7,0.5860823281368805,0.5393790430473862,1.1630038602011545,0.8897949635233443,0.00016612700525851418
8,0.5434666168941081,0.5754758504825357,1.2514756356221017,0.9021298082026357,0.00013487299474148582
9,0.5149681505293282,0.565494880150974,1.3501675703886475,0.9127487452107348,0.00010430195934094536
10,0.48442161412240203,0.5774893575292557,1.3856724034494428,0.9202364726922847,7.575000000000003e-05
11,0.48123949637375746,0.5758393236750976,1.500385831007317,0.9118146140604001,5.046497434935074e-05
12,0.4755219141910551,0.5835748454247018,1.3601809326773768,0.926717794465388,2.955195934094537e-05
13,0.45259241169308406,0.5641320117388287,1.4248119022292114,0.9238534891882717,1.3924954082431153e-05
14,0.4241688246821318,0.623518401605059,1.3720301514241233,0.9283925804182965,4.26693369029605e-06
15,0.41374037657493495,0.6179830022190944,1.399482663913068,0.9309892406910327,1e-06
