epoch,train_loss,train_f1,val_loss,val_f1,lr
1,0.6871156707416635,0.5783027617388806,0.37849216271819336,0.656282829228102,0.0009984602081996976
2,0.34997700881235017,0.7176462930584939,0.4980141506520416,0.5620825407691126,0.0009938503261272714
3,0.20310482672678015,0.7879273756409692,0.2489308102934091,0.8090697389554318,0.0009861987752386395
4,0.1361798739438937,0.8382950023775271,0.21291458913321687,0.8594193101547122,0.0009755527298894294
5,0.10216664727958168,0.8711547001364417,0.296994319361156,0.81656833206125,0.0009619778264893878
6,0.09457320882313287,0.8819154684444046,0.31527122939065066,0.8480738185694288,0.0009455577588320898
7,0.08733449765776492,0.8941451129738779,0.23225219058933289,0.8422577107783236,0.0009263937620948692
8,0.08744613066495693,0.8901079400540155,0.2751386960686397,0.8224892023552183,0.0009046039886902864
9,0.07092823831709152,0.9047307352137428,0.25076149272512016,0.828766267135107,0.0008803227798172156
10,0.05159312878858702,0.9281019414432062,0.25681612006763915,0.856476481206324,0.0008536998372026805
11,0.04844827461203137,0.9333332011572395,0.21534273340694432,0.8824128665411616,0.0008248993001409269
12,0.06417038805872816,0.9375668290620988,0.30038913245648463,0.8772179984711803,0.0007940987335200904
13,0.04783928500224956,0.9381806914460917,0.31184591197255834,0.851128628465635,0.0007614880330756164
14,0.03760197183174196,0.9533095080526399,0.256725048566106,0.8766989421231285,0.0007272682546199036
15,0.03293101152758608,0.9525171789866012,0.22082930217896188,0.8636053738320009,0.0006916503744663624
16,0.03635733306789195,0.951023466654361,0.26638209680949193,0.884389498834065,0.0006548539886902863
17,0.02279635620919259,0.9658126154330345,0.28947485107729937,0.8895475626880696,0.0006171059592460248
18,0.0248093648921558,0.9640467173093782,0.27834960937118736,0.8520530824382313,0.0005786390152875953
19,0.018778452876442503,0.9733670263673766,0.2557729705413585,0.864838109895457,0.0005396903183160585
20,0.019569370810457017,0.9716221177352891,0.4040589597306526,0.8872744821459839,0.0005005
