timestamp,fold,epoch,phase,lr,train_loss,train_f1,val_loss,val_f1,val_source,improved,epoch_secs
2026-05-13 14:09:00,3,1,warmup,1.00e-06,1.3364,0.4125,1.1654,0.4837,model,1,1295
2026-05-13 14:30:21,3,2,warmup,3.40e-05,0.8908,0.6772,0.6760,0.8606,model,1,1279
2026-05-13 14:51:46,3,3,warmup,6.70e-05,0.7629,0.7364,0.7875,0.8259,model,0,1282
2026-05-13 15:13:03,3,4,cosine,1.00e-04,0.7270,0.7545,0.7174,0.8492,ema,0,1277
2026-05-13 15:34:21,3,5,cosine,9.97e-05,0.6850,0.7713,0.6895,0.8646,ema,1,1277
2026-05-13 15:55:42,3,6,cosine,9.87e-05,0.6731,0.7787,0.6812,0.8609,ema,0,1279
2026-05-13 16:17:02,3,7,cosine,9.70e-05,0.6524,0.7949,0.6781,0.8636,ema,0,1280
2026-05-13 16:38:24,3,8,cosine,9.47e-05,0.6474,0.7866,0.7035,0.8587,ema,0,1281
2026-05-13 16:59:50,3,9,cosine,9.18e-05,0.6473,0.7947,0.7267,0.8750,ema,1,1286
2026-05-13 17:21:17,3,10,cosine,8.83e-05,0.6297,0.7860,0.7421,0.8698,ema,0,1285
2026-05-13 17:42:40,3,11,cosine,8.43e-05,0.6040,0.8067,0.7308,0.8667,ema,0,1282
2026-05-13 18:04:01,3,12,cosine,7.99e-05,0.6072,0.8047,0.7292,0.8711,ema,0,1281
2026-05-13 18:25:24,3,13,cosine,7.50e-05,0.5917,0.8149,0.7484,0.8711,ema,0,1282
2026-05-13 18:46:45,3,14,cosine,6.98e-05,0.5765,0.8192,0.7650,0.8644,ema,0,1280
2026-05-13 19:08:07,3,15,cosine,6.44e-05,0.5809,0.8190,0.7690,0.8644,ema,0,1282
2026-05-13 19:29:28,3,16,cosine,5.87e-05,0.5684,0.8247,0.7806,0.8644,ema,0,1281
2026-05-13 19:50:58,3,17,cosine,5.30e-05,0.5574,0.8212,0.8064,0.8644,ema,0,1289
2026-05-13 20:12:23,3,18,cosine,4.71e-05,0.5558,0.8212,0.8010,0.8644,ema,0,1285
2026-05-13 20:33:49,3,19,cosine,4.14e-05,0.5525,0.8355,0.8230,0.8506,ema,0,1285
