timestamp,fold,epoch,phase,lr,train_loss,train_f1,val_loss,val_f1,val_source,improved,epoch_secs
2026-05-12 22:16:20,3,1,warmup,1.00e-06,1.3364,0.4125,1.1654,0.4837,model,1,1295
2026-05-12 22:37:49,3,2,warmup,3.40e-05,0.8908,0.6772,0.6760,0.8606,model,1,1288
2026-05-12 22:59:17,3,3,warmup,6.70e-05,0.7629,0.7364,0.7875,0.8259,model,0,1286
2026-05-12 23:20:43,3,4,cosine,1.00e-04,0.7270,0.7545,0.7174,0.8492,ema,0,1285
2026-05-12 23:42:09,3,5,cosine,9.97e-05,0.6850,0.7713,0.6895,0.8646,ema,1,1286
2026-05-13 00:03:37,3,6,cosine,9.87e-05,0.6731,0.7787,0.6812,0.8609,ema,0,1285
