timestamp,fold,epoch,phase,lr,train_loss,train_f1,val_loss,val_f1,val_source,improved,epoch_secs
2026-05-11 13:15:06,1,1,warmup,1.00e-06,1.3247,0.4241,1.2715,0.3847,model,1,1298
2026-05-11 13:36:32,1,2,warmup,3.40e-05,0.8867,0.6734,0.8705,0.7244,model,1,1284
2026-05-11 13:57:55,1,3,warmup,6.70e-05,0.7854,0.7304,0.9648,0.7004,ema,0,1281
2026-05-11 14:19:16,1,4,cosine,1.00e-04,0.7201,0.7618,0.8697,0.7508,ema,1,1280
2026-05-11 14:40:40,1,5,cosine,9.97e-05,0.6885,0.7716,0.8537,0.7854,ema,1,1282
2026-05-11 15:02:05,1,6,cosine,9.87e-05,0.6703,0.7846,0.8472,0.7796,ema,0,1283
2026-05-11 15:23:31,1,7,cosine,9.70e-05,0.6508,0.7994,0.8503,0.7796,ema,0,1286
2026-05-11 15:44:52,1,8,cosine,9.47e-05,0.6437,0.7962,0.8542,0.8066,model,1,1280
2026-05-11 16:06:17,1,9,cosine,9.18e-05,0.6370,0.7917,0.8226,0.8160,model,1,1282
