epoch,train_loss,train_f1,val_loss,val_f1,lr
1,1.0698241130996728,0.4871539425656703,1.5160681596951189,0.8432751669481396,3.3333333333333335e-05
2,0.9070862877470598,0.5735445484692485,1.429327208451879,0.8767895362897768,5e-05
3,0.8896275727860709,0.5736150755918215,1.485565451721647,0.866213349663649,5e-05
4,0.8044746762251465,0.6018291006019355,1.5851411043708004,0.8666104187375329,4.752422169756048e-05
5,0.7736394464249465,0.619743755285711,1.4627066701714164,0.8998529227000389,4.058724504646834e-05
6,0.7236937653355422,0.6292263680744747,1.3888670178618767,0.8054429984098069,3.056302334890786e-05
7,0.660486254872685,0.6653976788244876,1.5191365290298136,0.9129895566312143,1.9436976651092144e-05
8,0.5919166300755574,0.6818927254726301,1.5251509003547716,0.9211049206972849,9.412754953531663e-06
9,0.5383849354773703,0.6872739642842111,1.547412680410373,0.9456828725858955,2.475778302439524e-06
10,0.5003361849180932,0.6985879336633902,1.658179262452034,0.9431292902680001,0.0
